Muestra;ADC
1130;1874
1131;689
1132;132
1133;208
1134;1003
1135;2262
1136;3335
1137;3987
1138;3864
1139;3089
1140;1879
1141;745
1142;112
1143;220
1144;1005
1145;2224
1146;3332
1147;3989
1148;3879
1149;3079
1150;1795
1151;753
1152;117
1153;212
1154;1067
1155;2248
1156;3393
1157;3972
1158;3887
1159;3018
1160;1859
1161;746
1162;116
1163;233
1164;1010
1165;2240
1166;3335
1167;3968
1168;3878
1169;3075
1170;1882
1171;736
1172;99
1173;218
1174;1024
1175;2229
1176;3331
1177;3998
1178;3827
1179;3080
1180;1856
1181;731
1182;89
1183;212
1184;1043
1185;2237
1186;3357
1187;3985
1188;3847
1189;3047
1190;1801
1191;723
1192;110
1193;213
1194;1019
1195;2222
1196;3363
1197;3986
1198;3869
1199;3044
1200;1851
1201;741
1202;109
1203;258
1204;1036
1205;2241
1206;3373
1207;3971
1208;3864
1209;3029
1210;1783
1211;735
1212;102
1213;225
1214;1051
1215;2251
1216;3405
1217;4002
1218;3848
1219;2991
1220;1855
1221;717
1222;103
1223;226
1224;1052
1225;2269
1226;3382
1227;3994
1228;3839
1229;3019
1230;1848
1231;655
1232;89
1233;256
1234;1055
1235;2318
1236;3416
1237;3989
1238;3854
1239;3022
1240;1741
1241;704
1242;87
1243;241
1244;1109
1245;2272
1246;3387
1247;4004
1248;3837
1249;3028
1250;1819
1251;688
1252;103
1253;242
1254;1067
1255;2296
1256;3394
1257;3999
1258;3847
1259;2941
1260;1826
1261;683
1262;88
1263;250
1264;1061
1265;2285
1266;3399
1267;3989
1268;3851
1269;2953
1270;1809
1271;652
1272;98
1273;244
1274;1097
1275;2279
1276;3395
1277;3984
1278;3845
1279;2995
1280;1801
1281;674
1282;103
1283;241
1284;1162
1285;2302
1286;3413
1287;3989
1288;3843
1289;2966
1290;1794
1291;643
1292;90
1293;280
1294;1083
1295;2309
1296;3426
1297;3999
1298;3837
1299;2979
1300;1729
1301;667
1302;99
1303;261
1304;1107
1305;2304
1306;3404
1307;4011
1308;3839
1309;2975
1310;1779
1311;683
1312;67
1313;266
1314;1139
1315;2318
1316;3443
1317;3991
1318;3785
1319;2975
1320;1780
1321;600
1322;94
1323;256
1324;1102
1325;2372
1326;3417
1327;3991
1328;3817
1329;2963
1330;1771
1331;668
1332;93
1333;256
1334;1131
1335;2336
1336;3433
1337;4014
1338;3822
1339;2975
1340;1677
1341;659
1342;87
1343;271
1344;1177
1345;2337
1346;3450
1347;3995
1348;3838
1349;2931
1350;1689
1351;635
1352;64
1353;263
1354;1147
1355;2364
1356;3433
1357;4003
1358;3805
1359;2963
1360;1745
1361;655
1362;100
1363;275
1364;1119
1365;2403
1366;3445
1367;3997
1368;3795
1369;2935
1370;1719
1371;632
1372;66
1373;271
1374;1199
1375;2349
1376;3436
1377;4007
1378;3804
1379;2951
1380;1711
1381;604
1382;78
1383;270
1384;1145
1385;2349
1386;3447
1387;3991
1388;3808
1389;2957
1390;1735
1391;627
1392;71
1393;303
1394;1152
1395;2389
1396;3448
1397;3995
1398;3781
1399;2873
1400;1725
1401;626
1402;90
1403;272
1404;1171
1405;2385
1406;3497
1407;3993
1408;3786
1409;2923
1410;1706
1411;633
1412;75
1413;302
1414;1168
1415;2383
1416;3465
1417;4002
1418;3779
1419;2919
1420;1691
1421;560
1422;76
1423;296
1424;1170
1425;2441
1426;3457
1427;4019
1428;3797
1429;2919
1430;1692
1431;585
1432;74
1433;346
1434;1201
1435;2410
1436;3486
1437;4021
1438;3808
1439;2927
1440;1700
1441;607
1442;61
1443;291
1444;1183
1445;2422
1446;3526
1447;4002
1448;3765
1449;2898
1450;1664
1451;584
1452;86
1453;335
1454;1185
1455;2499
1456;3480
1457;4003
1458;3783
1459;2819
1460;1683
1461;586
1462;70
1463;311
1464;1191
1465;2415
1466;3509
1467;4028
1468;3772
1469;2891
1470;1647
1471;579
1472;58
1473;317
1474;1263
1475;2441
1476;3519
1477;4005
1478;3770
1479;2863
1480;1575
1481;601
1482;79
1483;354
1484;1204
1485;2441
1486;3488
1487;4011
1488;3787
1489;2888
1490;1675
1491;581
1492;61
1493;305
1494;1213
1495;2443
1496;3520
1497;4021
1498;3763
1499;2865
1500;1668
1501;585
1502;77
1503;324
1504;1229
1505;2432
1506;3539
1507;4017
1508;3753
1509;2867
1510;1638
1511;566
1512;82
1513;317
1514;1305
1515;2463
1516;3509
1517;4013
1518;3779
1519;2847
1520;1631
1521;585
1522;68
1523;311
1524;1228
1525;2463
1526;3534
1527;4013
1528;3775
1529;2831
1530;1635
1531;576
1532;57
1533;327
1534;1287
1535;2447
1536;3562
1537;4016
1538;3753
1539;2865
1540;1555
1541;571
1542;72
1543;354
1544;1242
1545;2461
1546;3515
1547;4032
1548;3747
1549;2844
1550;1631
1551;553
1552;86
1553;343
1554;1242
1555;2541
1556;3519
1557;4011
1558;3765
1559;2790
1560;1585
1561;509
1562;57
1563;339
1564;1317
1565;2471
1566;3538
1567;4024
1568;3727
1569;2821
1570;1585
1571;551
1572;64
1573;330
1574;1243
1575;2480
1576;3552
1577;4036
1578;3755
1579;2822
1580;1593
1581;547
1582;73
1583;369
1584;1251
1585;2515
1586;3545
1587;4046
1588;3744
1589;2808
1590;1586
1591;526
1592;64
1593;377
1594;1291
1595;2575
1596;3535
1597;4042
1598;3744
1599;2826
1600;1600
1601;533
1602;74
1603;350
1604;1275
1605;2522
1606;3551
1607;4015
1608;3679
1609;2786
1610;1543
1611;535
1612;59
1613;364
1614;1291
1615;2551
1616;3563
1617;4025
1618;3727
1619;2786
1620;1585
1621;489
1622;58
1623;373
1624;1342
1625;2515
1626;3554
1627;4007
1628;3736
1629;2804
1630;1575
1631;517
1632;81
1633;356
1634;1299
1635;2525
1636;3591
1637;4007
1638;3705
1639;2797
1640;1513
1641;509
1642;66
1643;366
1644;1305
1645;2596
1646;3581
1647;4025
1648;3740
1649;2744
