Muestra;ADC
1242;1015
1243;1014
1244;1038
1245;1019
1246;1007
1247;1036
1248;1022
1249;1034
1250;1019
1251;1042
1252;1035
1253;1036
1254;985
1255;995
1256;996
1257;1039
1258;1009
1259;1003
1260;1024
1261;1028
1262;1039
1263;1031
1264;1024
1265;1049
1266;1000
1267;1017
1268;1002
1269;1047
1270;1002
1271;1019
1272;1015
1273;1000
1274;1051
1275;1010
1276;1008
1277;1041
1278;1015
1279;1018
1280;1043
1281;1029
1282;1001
1283;1030
1284;1005
1285;1020
1286;1047
1287;1004
1288;1008
1289;1007
1290;1031
1291;1032
1292;1021
1293;1013
1294;1036
1295;1023
1296;1047
1297;1035
1298;1025
1299;1018
1300;1019
1301;1027
1302;1030
1303;1023
1304;1032
1305;1003
1306;1027
1307;997
1308;1031
1309;1054
1310;1028
1311;1030
1312;1003
1313;984
1314;1022
1315;1024
1316;1015
1317;1036
1318;1030
1319;1020
1320;1039
1321;1000
1322;1026
1323;1045
1324;1051
1325;1039
1326;989
1327;1019
1328;1055
1329;1019
1330;1023
1331;1033
1332;1031
1333;1031
1334;1017
1335;1028
1336;1035
1337;1028
1338;1031
1339;1037
1340;1030
1341;1057
1342;1029
1343;1011
1344;1025
1345;1012
1346;1039
1347;1042
1348;1001
1349;1017
1350;1001
1351;1021
1352;1001
1353;987
1354;995
1355;1013
1356;1002
1357;1017
1358;1032
1359;1004
1360;1013
1361;1031
1362;1021
1363;1025
1364;997
1365;1030
1366;1037
1367;1032
1368;1017
1369;1008
1370;1007
1371;1031
1372;1025
1373;988
1374;1044
1375;1039
1376;1038
1377;1044
1378;1037
1379;1020
1380;996
1381;1029
1382;1029
1383;1017
1384;1032
1385;1017
1386;1033
1387;1043
1388;1018
1389;1046
1390;997
1391;1017
1392;1027
1393;1037
1394;1026
1395;1033
1396;1027
1397;1008
1398;1002
1399;990
1400;1029
1401;1029
1402;1014
1403;999
1404;1021
1405;1043
1406;1029
1407;1010
1408;1006
1409;1020
1410;1041
1411;1041
1412;1032
1413;1036
1414;1011
1415;1039
1416;1022
1417;999
1418;1022
1419;1002
1420;1034
1421;1007
1422;990
1423;999
1424;1011
1425;1027
1426;1025
1427;1015
1428;1042
1429;1023
1430;1018
1431;1013
1432;1043
1433;1011
1434;1024
1435;1035
1436;1025
1437;1025
1438;1024
1439;1024
1440;1031
1441;1018
1442;1023
1443;1015
1444;1032
1445;1006
1446;1037
1447;1047
1448;1039
1449;1015
1450;1018
1451;1025
1452;1035
1453;1023
1454;1031
1455;1032
1456;1048
1457;1000
1458;1017
1459;1013
1460;1006
1461;1006
1462;1019
1463;997
1464;1023
1465;1043
1466;1024
1467;1020
1468;995
1469;1036
1470;996
1471;1038
1472;1004
1473;1023
1474;1011
1475;1029
1476;1024
1477;1007
1478;1023
1479;1014
1480;1032
1481;1033
1482;1035
1483;1028
1484;1031
1485;999
1486;1023
1487;1014
1488;1031
1489;1031
1490;1033
1491;999
1492;1015
1493;1035
1494;1013
1495;1043
1496;1036
1497;1013
1498;1000
1499;1023
1500;1027
1501;1000
1502;1020
1503;1039
1504;1024
1505;1023
1506;1041
1507;1030
1508;1019
1509;1039
1510;1017
1511;1048
1512;1040
1513;1024
1514;1032
1515;1026
1516;1028
1517;1014
1518;1032
1519;1004
1520;1029
1521;1031
1522;1043
1523;1021
1524;1008
1525;1013
1526;1000
1527;1018
1528;1028
1529;1024
1530;974
1531;1027
1532;1043
1533;1031
1534;1016
1535;1039
1536;1027
1537;1028
1538;991
1539;1029
1540;1018
1541;1025
1542;1016
1543;986
1544;1060
1545;1027
1546;1020
1547;1014
1548;1021
1549;1020
1550;1026
1551;1039
1552;1029
1553;1037
1554;998
1555;1005
1556;1051
1557;1027
1558;1049
1559;1030
1560;996
1561;1020
1562;1018
1563;1035
1564;1007
1565;1015
1566;1023
1567;1046
1568;1027
1569;1021
1570;993
1571;1041
1572;1023
1573;997
1574;1029
1575;1040
1576;1005
1577;1013
1578;1023
1579;1006
1580;1003
1581;1039
1582;1012
1583;1036
1584;1014
1585;1030
1586;1005
1587;1047
1588;1032
1589;1021
1590;1019
1591;1022
1592;1019
1593;994
1594;1010
1595;999
1596;1043
1597;1026
1598;1035
1599;1028
1600;1023
1601;1027
1602;1006
1603;1012
1604;1032
1605;1009
1606;991
1607;1041
1608;1038
1609;1012
1610;1004
1611;1020
1612;1001
1613;997
1614;1016
1615;1029
1616;1019
1617;1033
1618;1010
1619;1016
1620;1026
1621;1043
1622;1040
1623;1003
1624;1004
1625;1015
1626;1033
1627;1015
1628;1061
1629;1030
1630;1013
1631;1032
1632;997
1633;1009
1634;999
1635;1006
1636;1031
1637;996
1638;996
1639;1028
1640;1030
1641;1027
1642;1009
1643;1011
1644;1022
1645;1042
1646;1026
1647;1032
1648;1025
1649;990
1650;1043
1651;1030
1652;1027
1653;1024
1654;1017
1655;1004
1656;1006
1657;999
1658;1038
1659;1004
1660;1035
1661;998
1662;1041
1663;1007
1664;1012
1665;1001
1666;1034
1667;1013
1668;1045
1669;1008
1670;1047
1671;1017
1672;1027
1673;1030
1674;1000
1675;1040
1676;1003
1677;1011
1678;1026
1679;1015
1680;1038
1681;1059
1682;1032
1683;1028
1684;989
1685;1047
1686;1035
1687;1029
1688;1025
1689;1011
1690;1041
1691;1023
1692;1014
1693;1039
1694;1033
1695;1047
1696;1007
1697;1014
1698;999
1699;1027
1700;1026
1701;995
1702;1006
1703;1024
1704;1036
1705;989
1706;1043
1707;996
1708;1026
1709;1033
1710;1005
1711;1025
1712;1042
1713;1051
1714;1019
1715;1007
1716;1009
1717;1011
1718;1023
1719;1035
1720;1011
1721;1039
1722;1022
1723;1017
1724;1031
1725;998
1726;1034
1727;991
1728;1023
1729;1047
1730;1048
1731;1037
1732;1020
1733;1024
1734;998
1735;1014
1736;1008
1737;1023
1738;1005
1739;1005
1740;1013
1741;1011
1742;1019
1743;1005
1744;1025
1745;1016
1746;1044
1747;1055
1748;1012
1749;1015
1750;1032
1751;1007
1752;1015
1753;996
1754;1008
1755;1038
1756;1004
1757;1014
1758;1007
1759;1015
1760;1039
1761;1025
1762;992
1763;1036
1764;1036
1765;1058
1766;1007
1767;1035
1768;1012
1769;1029
1770;1005
1771;1021
1772;1031
1773;998
1774;1034
1775;1005
1776;1003
1777;1044
1778;1021
1779;1027
1780;999
1781;1009
1782;1036
1783;1019
1784;1013
1785;1039
1786;1038
1787;1011
1788;1023
1789;1035
1790;1044
1791;1044
1792;1022
1793;1021
1794;1005
1795;1037
1796;1038
1797;1021
1798;1014
1799;1063
1800;1043
1801;1028
1802;1014
1803;1007
1804;1029
1805;1021
1806;1000
1807;1010
1808;988
1809;1023
1810;1004
1811;1033
1812;1018
1813;1042
1814;1033
1815;1032
1816;995
1817;1031
1818;1028
1819;1011
1820;1017
1821;1033
1822;1002
1823;1039
1824;1029
1825;1003
1826;1013
1827;1015
1828;1031
1829;1031
1830;1005
1831;1036
1832;1025
1833;1018
1834;994
1835;1001
1836;1019
1837;1043
1838;1035
1839;997
1840;1021
1841;1035
1842;1020
1843;1041
1844;1004
1845;1044
1846;1006
1847;1045
1848;1049
1849;1038
1850;1026
1851;1009
1852;1015
1853;1011
1854;1031
1855;1026
1856;1026
1857;1007
1858;1029
1859;1044
1860;1007
1861;1025
1862;1006
1863;1034
1864;1026
1865;1043
1866;1031
1867;1015
1868;1015
1869;1031
1870;1004
1871;1037
1872;1043
1873;1025
1874;1012
1875;1032
1876;1023
1877;1027
1878;1031
1879;1047
1880;1047
1881;1017
1882;1013
1883;1026
1884;1047
1885;1020
1886;1013
1887;1001
1888;1022
1889;1019
1890;1019
1891;1034
1892;1011
1893;1027
1894;1027
1895;1015
1896;1006
1897;1019
1898;1007
1899;1039
1900;1031
1901;1035
1902;1007
1903;1013
1904;1031
1905;1026
1906;1037
1907;1007
1908;1031
1909;1052
1910;1039
1911;1043
1912;992
1913;1054
1914;1024
1915;1011
1916;1018
1917;1029
1918;1029
1919;1029
1920;1019
1921;1038
1922;1023
1923;1038
1924;1036
1925;1035
1926;1033
1927;1039
1928;984
1929;1004
1930;1003
1931;1033
1932;1023
1933;1024
1934;1038
1935;1036
1936;1006
1937;1028
1938;1031
1939;1039
1940;1042
1941;1027
1942;1026
1943;1032
1944;1027
1945;1027
1946;1031
1947;1028
1948;1038
1949;1023
1950;1017
1951;1003
1952;1020
1953;1031
1954;1010
1955;1033
1956;1021
1957;1032
1958;1020
1959;1039
1960;1056
1961;1012
1962;999
1963;1028
1964;1003
1965;1010
1966;1040
1967;1036
1968;1029
1969;1017
1970;1045
1971;1006
1972;1029
1973;1016
1974;1031
1975;1024
1976;1015
1977;1005
1978;1025
1979;1013
1980;1042
1981;1007
1982;1027
1983;1004
1984;1021
1985;1039
1986;1041
1987;1051
1988;1034
1989;1026
1990;988
1991;1018
1992;1032
1993;1050
1994;1038
1995;1010
1996;1035
1997;1017
1998;1027
1999;1009
2000;1023
2001;1027
2002;1029
2003;1039
2004;1047
2005;1023
2006;1015
2007;998
2008;1032
2009;1039
2010;1015
2011;1023
2012;1028
2013;1021
2014;1024
2015;1020
2016;1039
2017;1007
2018;1035
2019;1008
2020;1019
2021;1016
2022;1023
2023;1035
2024;1031
2025;1013
2026;1015
2027;1022
2028;1007
2029;996
2030;996
2031;1023
2032;1043
2033;1039
2034;1003
2035;1019
2036;1046
2037;1011
2038;1012
2039;1043
2040;1033
2041;1043
2042;1023
2043;1002
2044;1021
2045;1031
2046;1021
2047;1030
2048;1032
2049;1031
2050;1028
2051;1039
2052;1015
2053;1032
2054;1035
2055;1047
2056;1036
2057;1027
2058;1035
2059;1004
2060;1043
2061;1018
2062;1041
2063;1027
2064;1047
2065;1027
2066;999
2067;1023
2068;1043
2069;1010
2070;1014
2071;1020
2072;1042
2073;1009
2074;1007
2075;1035
2076;1007
2077;1025
2078;1000
2079;1029
2080;1001
2081;1013
2082;1031
2083;1003
2084;1010
2085;1010
2086;1037
2087;1009
2088;998
2089;1036
2090;1043
2091;1035
2092;1027
2093;1033
2094;993
2095;1011
2096;981
2097;1047
2098;1003
2099;1007
2100;1015
2101;1005
2102;1020
2103;993
2104;999
2105;1037
2106;1016
2107;1007
2108;1007
2109;1038
2110;1000
2111;1015
2112;1035
2113;1002
2114;1031
2115;1012
2116;1038
2117;1001
2118;1006
2119;1021
2120;1043
2121;1026
2122;1026
2123;1045
2124;1021
2125;1015
2126;1019
2127;1040
2128;1021
2129;1037
2130;1015
2131;1003
2132;1026
2133;1034
2134;1056
2135;1005
2136;1015
2137;1003
2138;1015
2139;1019
2140;1026
2141;999
2142;1015
2143;1018
2144;1012
2145;1048
2146;1032
2147;1026
2148;1001
2149;1045
2150;1019
2151;1009
2152;997
2153;1019
2154;1013
2155;1028
2156;1029
2157;1018
2158;1003
2159;1017
2160;1002
2161;1027
2162;1043
2163;993
2164;988
2165;1017
2166;1025
2167;1022
2168;1028
2169;1015
2170;1021
2171;1013
2172;1021
2173;1045
2174;1013
2175;1017
2176;1020
2177;1021
2178;1045
2179;991
2180;1039
2181;1002
2182;1020
2183;1008
2184;1026
2185;1003
2186;1013
2187;1015
2188;1003
2189;1019
2190;1008
2191;1022
2192;1031
2193;1015
2194;1015
2195;1039
2196;1006
2197;1029
2198;1031
2199;1023
2200;996
2201;1031
2202;1051
2203;1039
2204;1017
2205;1003
2206;991
2207;988
2208;1015
2209;990
2210;1021
2211;1041
2212;981
2213;1029
2214;1038
2215;1014
2216;1006
2217;1036
2218;1017
2219;989
2220;994
2221;1021
2222;1019
2223;1007
2224;1026
2225;1038
2226;1029
2227;1023
2228;1015
2229;1034
2230;1056
2231;1020
2232;1027
2233;1034
2234;1024
2235;1018
2236;1021
2237;1031
2238;1009
2239;991
2240;1011
2241;1024
2242;1049
2243;1006
2244;1013
2245;1028
2246;1022
2247;1002
2248;1009
2249;999
2250;1008
2251;1019
2252;1003
2253;1022
2254;1049
2255;1009
2256;1007
2257;1031
2258;1002
2259;1029
2260;1047
2261;1013
2262;994
2263;1023
2264;1007
2265;1023
2266;1019
2267;1037
2268;1019
2269;1008
2270;1027
2271;1043
2272;1033
2273;1013
2274;1027
2275;1022
2276;1005
2277;1021
2278;1015
2279;1017
2280;1017
2281;1012
2282;1002
2283;1011
2284;1000
2285;993
2286;1037
2287;1018
2288;1033
2289;1006
2290;1017
2291;1012
2292;987
2293;1032
2294;1023
2295;1032
2296;1012
2297;1028
2298;995
2299;1031
2300;1027
2301;1023
2302;1034
2303;1039
2304;1018
2305;1047
2306;1034
2307;1015
2308;996
