Tiempo (s),X,Y,Z
410.88200000001916,-2.811496,-1.004288,-0.833209
411.0540000000192,-2.772368,-0.946419,-0.836888
411.2260000000192,-2.768473,-0.944803,-0.838839
411.39800000001924,-2.810801,-0.946379,-0.83848
411.57000000001926,-2.880395,-0.926445,-0.836482
411.7420000000193,-2.911152,-0.91091,-0.834063
411.9140000000193,-2.90431,-0.967618,-0.832489
412.08600000001934,-2.855527,-1.031463,-0.832448
412.25800000001936,-2.742047,-1.02773,-0.837313
412.4300000000194,-2.410456,-0.855309,-0.851521
412.6020000000194,-1.894124,-0.565172,-0.862475
412.77400000001944,-1.388665,-0.236222,-0.833184
412.94600000001947,-1.200116,0.026219,-0.717743
413.1180000000195,-1.301298,0.17456,-0.504079
413.2900000000195,-1.481437,0.142033,-0.238442
413.46200000001954,-1.581604,-0.11495,0.006218
413.63400000001957,-1.708403,-0.500931,0.17863
413.8060000000196,-1.963327,-0.796313,0.271689
413.9780000000196,-2.337625,-0.887806,0.30503
414.15000000001965,-2.679873,-0.814613,0.305023
414.32200000001967,-2.917482,-0.756491,0.294464
414.4940000000197,-3.008076,-0.796769,0.286993
414.6660000000197,-3.041477,-0.949697,0.286879
414.83800000001975,-2.985504,-1.153679,0.294533
415.0100000000198,-2.835703,-1.366376,0.30359
415.1820000000198,-2.544256,-1.427665,0.31035
415.3540000000198,-2.193211,-1.229331,0.306527
415.52600000001985,-1.909064,-0.956246,0.294122
415.6980000000199,-1.805375,-0.910448,0.279999
415.8700000000199,-1.775936,-1.200818,0.270957
416.0420000000199,-1.718761,-1.487775,0.268178
416.21400000001995,-1.648546,-1.449325,0.273107
416.38600000002,-1.722456,-1.152994,0.289788
416.55800000002,-2.083562,-0.910824,0.31545
416.73000000002,-2.655594,-0.793231,0.332831
416.90200000002005,-3.141612,-0.583103,0.332374
417.0740000000201,-3.195452,-0.344619,0.312551
417.2460000000201,-2.777432,-0.341688,0.277515
417.41800000002013,-2.249768,-0.691448,0.21605
417.59000000002015,-2.060302,-1.18221,0.129134
417.7620000000202,-2.370129,-1.485228,0.069012
417.9340000000202,-2.741723,-1.564542,0.107553
418.10600000002023,-2.645603,-1.41491,0.272888
418.27800000002026,-2.052796,-1.061595,0.483115
418.4500000000203,-1.383929,-0.527272,0.587923
418.6220000000203,-1.203641,-0.065705,0.491019
418.79400000002033,-1.460006,0.120164,0.241685
418.96600000002036,-1.708417,0.065848,0.005693
419.1380000000204,-1.520594,-0.056996,-0.056227
419.3100000000204,-0.977422,-0.124626,0.093001
419.48200000002043,-0.518021,-0.179057,0.346956
419.65400000002046,-0.519158,-0.314158,0.51333
419.8260000000205,-0.929151,-0.503058,0.470777
419.9980000000205,-1.376842,-0.677406,0.246273
420.17000000002054,-1.497114,-0.800837,0.020764
420.34200000002056,-1.393616,-0.971816,-0.022579
420.5140000000206,-1.272432,-1.180488,0.162056
420.6860000000206,-1.290819,-1.228211,0.432905
420.85800000002064,-1.460927,-0.885646,0.580461
421.03000000002066,-1.843322,-0.307145,0.491273
421.2020000000207,-2.325661,-0.022546,0.239491
421.3740000000207,-2.61114,-0.281037,0.007067
421.54600000002074,-2.389782,-0.863096,-0.055881
421.71800000002077,-1.788464,-1.244587,0.06544
421.8900000000208,-1.197397,-1.222485,0.273871
422.0620000000208,-0.985172,-0.918476,0.430512
422.23400000002084,-1.131654,-0.647018,0.452984
422.40600000002087,-1.366222,-0.670385,0.366544
422.5780000000209,-1.396619,-1.044896,0.26902
422.7500000000209,-1.282428,-1.387768,0.234007
422.92200000002094,-1.186263,-1.226125,0.240462
423.09400000002097,-1.227133,-0.540279,0.229279
423.266000000021,-1.329783,0.064185,0.194789
423.438000000021,-1.513562,0.053741,0.182505
423.61000000002105,-1.840783,-0.464303,0.215596
423.78200000002107,-2.305192,-0.93419,0.266285
423.9540000000211,-2.729367,-1.030803,0.295024
424.1260000000211,-2.950197,-0.927803,0.299875
424.29800000002115,-2.921988,-0.871259,0.294831
424.4700000000212,-2.805953,-0.825679,0.29542
424.6420000000212,-2.700185,-0.716036,0.298796
424.8140000000212,-2.707022,-0.678554,0.301739
424.98600000002125,-2.816057,-0.889311,0.303189
425.1580000000213,-2.975505,-1.261674,0.302606
425.3300000000213,-3.074068,-1.39378,0.301533
425.5020000000213,-3.031541,-1.148482,0.301339
425.67400000002135,-2.87328,-0.793985,0.301746
425.8460000000214,-2.719728,-0.697003,0.301057
426.0180000000214,-2.658707,-0.862883,0.298207
426.1900000000214,-2.684747,-1.018928,0.294941
426.36200000002145,-2.723602,-1.017502,0.293885
426.5340000000215,-2.728794,-0.934224,0.296517
426.7060000000215,-2.728997,-0.900127,0.301468
426.87800000002153,-2.744128,-0.911584,0.305838
427.05000000002156,-2.768714,-0.892455,0.308032
427.2220000000216,-2.782057,-0.861507,0.308052
427.3940000000216,0.042918,0.006582,-0.004783
427.56600000002163,0.1143,0.020995,-0.012109
427.73800000002166,0.101127,0.00677,-0.009355
427.9100000000217,-0.218478,-0.078503,0.025747
428.0820000000217,-0.945771,-0.193678,0.101401
428.25400000002173,-1.894921,-0.208785,0.195089
428.42600000002176,-2.683848,-0.042017,0.268899
428.5980000000218,-3.056091,0.131245,0.303068
428.7700000000218,-3.053311,0.024323,0.307104
428.94200000002184,-2.911741,-0.519319,0.301444
429.11400000002186,-2.817047,-1.255515,0.295918
429.2860000000219,-2.842559,-1.812731,0.292906
429.4580000000219,-2.907578,-1.935054,0.290831
429.63000000002194,-2.926293,-1.647988,0.291961
429.80200000002196,-2.882619,-1.194527,0.295339
429.974000000022,-2.856322,-0.862609,0.298253
430.146000000022,-2.908491,-0.765157,0.298883
430.31800000002204,-3.009773,-0.791137,0.298163
430.49000000002206,-3.067227,-0.772238,0.297319
